s_no,route_long_name,stop_id
457,708ADOWN,1354
458,708ADOWN,1355
459,708ADOWN,1356
460,708ADOWN,1357
461,708ADOWN,2275
462,708ADOWN,2276
463,708ADOWN,1360
464,708ADOWN,2036
465,708ADOWN,2037
466,708ADOWN,2038
467,708ADOWN,2039
468,708ADOWN,1365
469,708ADOWN,2041
470,708ADOWN,1367
471,708ADOWN,1368
472,708ADOWN,2044
473,708ADOWN,2045
474,708ADOWN,2046
475,708ADOWN,2047
476,708ADOWN,1499
477,708ADOWN,1500
478,708ADOWN,1501
479,448STLDOWN,1529
480,448STLDOWN,2480
481,448STLDOWN,2481
482,448STLDOWN,2482
483,448STLDOWN,2483
484,448STLDOWN,3405
485,448STLDOWN,3406
486,448STLDOWN,1069
487,448STLDOWN,3387
488,448STLDOWN,3493
489,448STLDOWN,3096
490,448STLDOWN,3389
491,448STLDOWN,3494
492,448STLDOWN,1707
493,448STLDOWN,1708
494,448STLDOWN,2421
495,448STLDOWN,4144
496,448STLDOWN,2423
497,448STLDOWN,2424
498,448STLDOWN,2425
499,448STLDOWN,2426
500,448STLDOWN,449
501,790+876UP,873
502,790+876UP,874
503,790+876UP,875
504,790+876UP,876
505,790+876UP,877
506,790+876UP,878
507,790+876UP,879
508,790+876UP,880
509,790+876UP,881
510,790+876UP,882
511,790+876UP,883
512,790+876UP,884
513,790+876UP,1687
514,790+876UP,1688
515,790+876UP,1689
516,790+876UP,1690
517,790+876UP,2066
518,790+876UP,1692
519,790+876UP,1693
520,790+876UP,1694
521,790+876UP,1695
522,790+876UP,2067
523,790+876UP,1696
524,790+876UP,1697
525,790+876UP,2257
526,790+876UP,2258
527,790+876UP,2259
528,790+876UP,2260
529,790+876UP,2022
530,790+876UP,2023
531,790+876UP,2024
532,790+876UP,2025
533,790+876UP,2026
534,790+876UP,2027
535,790+876UP,2028
536,790+876UP,2029
537,790+876UP,2030
538,790+876UP,1967
539,790+876UP,228
540,790+876UP,229
541,790+876UP,230
542,790+876UP,231
543,790+876UP,232
544,790+876UP,233
545,790+876UP,2031
546,790+876UP,379
547,790+876UP,4062
548,790+876UP,4063
549,790+876UP,4064
550,790+876UP,3718
551,236UP,770
552,236UP,771
553,236UP,772
554,236UP,773
555,236UP,774
556,236UP,775
557,236UP,776
558,236UP,777
559,236UP,778
560,236UP,113
561,236UP,779
562,236UP,780
563,236UP,781
564,236UP,782
565,236UP,783
566,236UP,784
567,236UP,785
568,236UP,786
569,236UP,787
570,236UP,788
571,236UP,300
572,236UP,669
573,236UP,670
574,236UP,671
575,236UP,4145
576,236UP,790
577,236UP,791
578,236UP,792
579,236UP,793
580,236UP,794
581,236UP,795
582,236UP,796
583,236UP,797
584,236UP,798
585,236UP,799
586,236UP,800
587,236UP,801
588,236UP,802
589,236UP,803
590,236UP,804
591,236UP,1483
592,236UP,1484
593,236UP,1485
594,236UP,1486
595,236UP,1487
596,236UP,1488
597,236UP,1489
598,236UP,1490
599,236UP,1491
600,236UP,1492
601,236UP,1494
602,236UP,1495
603,236UP,1496
604,236UP,1497
605,236UP,1498
606,236UP,1499
607,236UP,1500
608,236UP,1501
609,891STLUP,2310
610,891STLUP,3221
611,891STLUP,3222
612,891STLUP,625
613,891STLUP,626
614,891STLUP,904
615,891STLUP,629
616,891STLUP,630
617,891STLUP,631
618,891STLUP,632
619,891STLUP,633
620,891STLUP,634
621,891STLUP,906
622,891STLUP,907
623,891STLUP,2462
624,891STLUP,909
625,891STLUP,910
626,891STLUP,911
627,891STLUP,651
628,891STLUP,652
629,891STLUP,653
630,891STLUP,654
631,891STLUP,655
632,891STLUP,656
633,891STLUP,657
634,891STLUP,658
635,891STLUP,659
636,891STLUP,660
637,891STLUP,488
638,891STLUP,233
639,891STLUP,234
640,891STLUP,148
641,891STLUP,235
642,891STLUP,236
643,891STLUP,237
644,891STLUP,238
645,410CLDOWN,4105
646,410CLDOWN,4106
647,410CLDOWN,459
648,410CLDOWN,1089
649,410CLDOWN,1090
650,410CLDOWN,1091
651,410CLDOWN,324
652,410CLDOWN,325
653,410CLDOWN,326
654,410CLDOWN,327
655,410CLDOWN,1092
656,410CLDOWN,2716
657,410CLDOWN,2717
658,410CLDOWN,4146
659,410CLDOWN,2719
660,410CLDOWN,2720
661,410CLDOWN,2721
662,410CLDOWN,2323
663,410CLDOWN,2324
664,410CLDOWN,142
665,410CLDOWN,2394
666,410CLDOWN,2254
667,410CLDOWN,2255
668,410CLDOWN,2256
669,410CLDOWN,873
670,410CLDOWN,874
671,410CLDOWN,875
672,410CLDOWN,1671
673,410CLDOWN,3481
674,410CLDOWN,3553
675,410CLDOWN,3218
676,410CLDOWN,3219
677,410CLDOWN,3220
678,410CLDOWN,524
679,410CLDOWN,525
680,410CLDOWN,526
681,410CLDOWN,527
682,410CLDOWN,528
683,410CLDOWN,529
684,410CLDOWN,1531
685,410CLDOWN,1532
686,410CLDOWN,1533
687,410CLDOWN,1534
688,410CLDOWN,1535
689,410CLDOWN,1536
690,410CLDOWN,2633
691,410CLDOWN,1539
692,410CLDOWN,1540
693,410CLDOWN,4147
694,410CLDOWN,4148
695,410CLDOWN,4149
696,410CLDOWN,4054
697,167UP,513
698,167UP,830
699,167UP,1290
700,167UP,1291
701,167UP,1292
702,167UP,1293
703,167UP,1294
704,167UP,353
705,167UP,354
706,167UP,355
707,167UP,1677
708,167UP,3394
709,167UP,3570
710,167UP,3395
711,167UP,3396
712,167UP,3397
713,167UP,3571
714,167UP,2795
715,167UP,3398
716,167UP,3573
717,167UP,821
718,167UP,822
719,167UP,823
720,167UP,824
721,167UP,825
722,167UP,826
723,167UP,1583
724,167UP,2915
725,167UP,2916
726,167UP,2917
727,167UP,2918
728,167UP,2919
729,167UP,381
730,167UP,382
731,167UP,383
732,167UP,384
733,167UP,385
734,167UP,3680
735,167UP,536
736,167UP,537
737,167UP,538
738,167UP,539
739,167UP,540
740,167UP,541
741,167UP,2150
742,167UP,2001
743,167UP,998
744,167UP,999
745,167UP,1000
746,TMS-PBAGH,1038
747,TMS-PBAGH,1039
748,TMS-PBAGH,1040
749,TMS-PBAGH,1041
750,TMS-PBAGH,1042
751,TMS-PBAGH,1043
752,TMS-PBAGH,2464
753,TMS-PBAGH,1045
754,TMS-PBAGH,1046
755,TMS-PBAGH,1047
756,TMS-PBAGH,1048
757,TMS-PBAGH,1049
